year,sex,course,intake,enrolment,graduates
2005,M,Business,346,829,211
2005,F,Business,530,1732,495
2005,M,Architecture and Built Environment,124,524,74
2005,F,Architecture and Built Environment,175,786,106
2005,M,Business,644,1915,358
2005,F,Business,901,3098,898
2005,M,Dentistry,14,72,22
2005,F,Dentistry,19,67,12
2005,M,Education,0,0,0
2005,F,Education,0,0,0
2005,M,Engineering,2858,11731,2659
2005,F,Engineering,1170,4868,1200
2005,M,Arts` Humanities and the Social Sciences,60,143,11
2005,F,Arts` Humanities and the Social Sciences,103,212,11
2005,M,Health Sciences,27,81,16
2005,F,Health Sciences,149,352,69
2005,M,Arts` Humanities and the Social Sciences,589,1944,401
2005,F,Arts` Humanities and the Social Sciences,1644,4799,1249
2005,M,Information & Digital Technologies,493,1591,362
2005,F,Information & Digital Technologies,280,765,200
2005,M,Law,95,346,62
2005,F,Law,125,498,125
2005,M,Arts` Humanities and the Social Sciences,42,137,36
2005,F,Arts` Humanities and the Social Sciences,130,507,110
2005,M,Medicine,130,690,123
2005,F,Medicine,103,479,86
2005,M,Sciences,697,1973,366
2005,F,Sciences,1004,3416,769
2005,M,Arts` Humanities and the Social Sciences,18,28,0
2005,F,Arts` Humanities and the Social Sciences,38,80,0
2006,M,Business,377,1025,176
2006,F,Business,557,1819,468
2006,M,Architecture and Built Environment,153,526,136
2006,F,Architecture and Built Environment,226,810,193
2006,M,Business,737,2193,432
2006,F,Business,1035,3297,818
2006,M,Dentistry,16,70,18
2006,F,Dentistry,26,78,14
2006,M,Education,0,0,0
2006,F,Education,0,0,0
2006,M,Engineering,3076,11969,2674
2006,F,Engineering,1025,4694,1137
2006,M,Arts` Humanities and the Social Sciences,96,223,11
2006,F,Arts` Humanities and the Social Sciences,137,334,13
2006,M,Health Sciences,39,94,24
2006,F,Health Sciences,201,489,57
2006,M,Arts` Humanities and the Social Sciences,760,2250,460
2006,F,Arts` Humanities and the Social Sciences,1813,5282,1298
2006,M,Information & Digital Technologies,543,1709,401
2006,F,Information & Digital Technologies,185,796,139
2006,M,Law,136,409,70
2006,F,Law,102,463,134
2006,M,Arts` Humanities and the Social Sciences,27,130,33
2006,F,Arts` Humanities and the Social Sciences,153,555,108
2006,M,Medicine,132,685,135
2006,F,Medicine,119,503,94
2006,M,Sciences,646,2144,429
2006,F,Sciences,1348,3755,955
2006,M,Arts` Humanities and the Social Sciences,32,60,0
2006,F,Arts` Humanities and the Social Sciences,36,117,0
2007,M,Business,375,1160,260
2007,F,Business,625,1914,574
2007,M,Architecture and Built Environment,140,545,111
2007,F,Architecture and Built Environment,313,934,177
2007,M,Business,664,2312,491
2007,F,Business,1069,3363,893
2007,M,Dentistry,16,65,21
2007,F,Dentistry,26,89,15
2007,M,Education,0,0,0
2007,F,Education,0,0,0
2007,M,Engineering,2872,11489,3108
2007,F,Engineering,1192,4553,1258
2007,M,Arts` Humanities and the Social Sciences,95,282,28
2007,F,Arts` Humanities and the Social Sciences,147,429,41
2007,M,Health Sciences,52,128,19
2007,F,Health Sciences,207,617,67
2007,M,Arts` Humanities and the Social Sciences,756,2491,484
2007,F,Arts` Humanities and the Social Sciences,2056,6176,1123
2007,M,Information & Digital Technologies,527,1836,367
2007,F,Information & Digital Technologies,249,824,206
2007,M,Law,124,457,84
2007,F,Law,208,547,123
2007,M,Arts` Humanities and the Social Sciences,46,147,28
2007,F,Arts` Humanities and the Social Sciences,136,546,141
2007,M,Medicine,134,671,144
2007,F,Medicine,116,536,83
2007,M,Sciences,722,2373,456
2007,F,Sciences,1415,4232,869
2007,M,Arts` Humanities and the Social Sciences,23,83,0
2007,F,Arts` Humanities and the Social Sciences,48,163,0
2008,M,Business,417,1229,295
2008,F,Business,638,1910,536
2008,M,Architecture and Built Environment,180,578,136
2008,F,Architecture and Built Environment,272,952,232
2008,M,Business,593,2425,503
2008,F,Business,943,3423,959
2008,M,Dentistry,23,70,18
2008,F,Dentistry,21,93,17
2008,M,Education,0,0,0
2008,F,Education,0,0,0
2008,M,Engineering,2534,10266,2633
2008,F,Engineering,1064,4102,1254
2008,M,Arts` Humanities and the Social Sciences,107,342,31
2008,F,Arts` Humanities and the Social Sciences,129,503,50
2008,M,Health Sciences,62,176,10
2008,F,Health Sciences,185,712,77
2008,M,Arts` Humanities and the Social Sciences,852,2826,505
2008,F,Arts` Humanities and the Social Sciences,1971,6783,1312
2008,M,Information & Digital Technologies,726,2760,625
2008,F,Information & Digital Technologies,307,1021,275
2008,M,Law,135,494,94
2008,F,Law,221,649,115
2008,M,Arts` Humanities and the Social Sciences,36,145,32
2008,F,Arts` Humanities and the Social Sciences,133,543,132
2008,M,Medicine,133,670,131
2008,F,Medicine,127,566,96
2008,M,Sciences,928,2762,491
2008,F,Sciences,1333,4651,856
2008,M,Arts` Humanities and the Social Sciences,29,96,14
2008,F,Arts` Humanities and the Social Sciences,36,157,43
2009,M,Business,479,1412,342
2009,F,Business,663,2059,595
2009,M,Architecture and Built Environment,180,632,120
2009,F,Architecture and Built Environment,254,1027,163
2009,M,Business,695,2439,627
2009,F,Business,824,3270,855
2009,M,Dentistry,19,77,12
2009,F,Dentistry,29,103,19
2009,M,Education,0,0,0
2009,F,Education,0,0,0
2009,M,Engineering,2921,10304,2753
2009,F,Engineering,1278,4218,1117
2009,M,Arts` Humanities and the Social Sciences,121,409,47
2009,F,Arts` Humanities and the Social Sciences,148,548,88
2009,M,Health Sciences,91,242,22
2009,F,Health Sciences,204,800,107
2009,M,Arts` Humanities and the Social Sciences,944,3162,573
2009,F,Arts` Humanities and the Social Sciences,2138,7272,1606
2009,M,Information & Digital Technologies,671,2843,441
2009,F,Information & Digital Technologies,320,1132,175
2009,M,Law,197,610,89
2009,F,Law,186,711,118
2009,M,Arts` Humanities and the Social Sciences,66,176,36
2009,F,Arts` Humanities and the Social Sciences,102,516,128
2009,M,Medicine,134,682,122
2009,F,Medicine,126,596,97
2009,M,Sciences,1031,3144,606
2009,F,Sciences,1382,4932,1040
2009,M,Arts` Humanities and the Social Sciences,21,103,13
2009,F,Arts` Humanities and the Social Sciences,40,160,36
2010,M,Business,480,1486,380
2010,F,Business,689,2159,553
2010,M,Architecture and Built Environment,146,669,90
2010,F,Architecture and Built Environment,280,1117,173
2010,M,Business,706,2476,658
2010,F,Business,901,3287,856
2010,M,Dentistry,17,76,16
2010,F,Dentistry,31,108,25
2010,M,Education,0,0,0
2010,F,Education,0,0,0
2010,M,Engineering,2936,10889,2840
2010,F,Engineering,1144,4498,946
2010,M,Arts` Humanities and the Social Sciences,159,473,84
2010,F,Arts` Humanities and the Social Sciences,186,607,121
2010,M,Health Sciences,87,281,39
2010,F,Health Sciences,189,783,196
2010,M,Arts` Humanities and the Social Sciences,884,3319,736
2010,F,Arts` Humanities and the Social Sciences,1807,7424,1645
2010,M,Information & Digital Technologies,663,2287,469
2010,F,Information & Digital Technologies,276,1068,162
2010,M,Law,175,640,138
2010,F,Law,175,783,89
2010,M,Arts` Humanities and the Social Sciences,42,185,30
2010,F,Arts` Humanities and the Social Sciences,122,490,147
2010,M,Medicine,139,685,134
2010,F,Medicine,121,620,94
2010,M,Sciences,935,3412,594
2010,F,Sciences,1297,4949,1172
2010,M,Arts` Humanities and the Social Sciences,86,161,29
2010,F,Arts` Humanities and the Social Sciences,236,363,35
2011,M,Business,482,1627,332
2011,F,Business,618,2244,507
2011,M,Architecture and Built Environment,160,694,121
2011,F,Architecture and Built Environment,315,1163,247
2011,M,Business,727,2543,633
2011,F,Business,910,3237,944
2011,M,Dentistry,19,79,16
2011,F,Dentistry,29,111,26
2011,M,Education,104,451,103
2011,F,Education,293,1301,303
2011,M,Engineering,3007,11026,2772
2011,F,Engineering,1241,4598,1119
2011,M,Arts` Humanities and the Social Sciences,167,539,84
2011,F,Arts` Humanities and the Social Sciences,180,640,132
2011,M,Health Sciences,83,319,42
2011,F,Health Sciences,264,820,213
2011,M,Arts` Humanities and the Social Sciences,793,3242,708
2011,F,Arts` Humanities and the Social Sciences,1660,6447,1772
2011,M,Information & Digital Technologies,693,2465,388
2011,F,Information & Digital Technologies,364,1178,195
2011,M,Law,192,706,121
2011,F,Law,172,742,208
2011,M,Arts` Humanities and the Social Sciences,39,183,41
2011,F,Arts` Humanities and the Social Sciences,135,490,133
2011,M,Medicine,132,681,136
2011,F,Medicine,148,647,119
